epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.9136,1.95439,3.29223,1.61113,0.40041,0.13525,0.13328,0.09291,2.20756,2.70978,1.74253,0.000276692,0.000276692,0.000276692
2,163.921,1.92322,2.56251,1.52872,0.38739,0.15702,0.16864,0.11641,2.22389,2.51237,1.7093,0.000548871,0.000548871,0.000548871
3,244.286,1.88884,2.38788,1.50306,0.42642,0.1962,0.19601,0.13561,2.16088,2.36851,1.70914,0.000815552,0.000815552,0.000815552
4,317.201,1.86528,2.2682,1.49553,0.52662,0.22009,0.22582,0.15419,2.14004,2.36689,1.65964,0.00080826,0.00080826,0.00080826
5,408.52,1.84572,2.19635,1.48309,0.56622,0.23154,0.23989,0.16726,2.06257,2.2558,1.62683,0.000800013,0.000800013,0.000800013
6,545.242,1.79347,2.09418,1.44652,0.56808,0.23552,0.24153,0.16805,2.04086,2.28247,1.6215,0.000791767,0.000791767,0.000791767
7,664.582,1.74014,2.00168,1.42899,0.59341,0.24457,0.2608,0.18634,2.00487,2.14797,1.59469,0.00078352,0.00078352,0.00078352
8,800.321,1.72789,1.97889,1.41419,0.6285,0.24363,0.26799,0.18724,2.02197,2.12787,1.59579,0.000775273,0.000775273,0.000775273
9,902.072,1.73808,1.98672,1.42181,0.62421,0.25498,0.28428,0.19983,1.96287,2.06779,1.57335,0.000767026,0.000767026,0.000767026
10,1046.25,1.70742,1.92406,1.40251,0.6648,0.26051,0.2912,0.20279,1.92804,2.06117,1.57449,0.00075878,0.00075878,0.00075878
11,1193.87,1.71571,1.92103,1.4027,0.68091,0.26639,0.30548,0.21485,1.91031,2.00075,1.52644,0.000750533,0.000750533,0.000750533
12,1278.47,1.65294,1.83749,1.36987,0.64185,0.27025,0.30063,0.21095,1.93176,2.04648,1.51962,0.000742286,0.000742286,0.000742286
